transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit
1,2,2950,2/25/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,53.62,12/2/2012,17.87
2,3,3120,5/21/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,3/3/2014,1702.55
3,37,402,10/16/2017,FALSE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,7/20/1999,1544.61
4,88,3135,8/31/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,12/16/1998,817.36
5,78,787,10/1/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,8/10/2015,1055.82
6,25,2339,3/8/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,11/10/2006,709.34
7,22,1542,4/21/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,7/15/1993,15.08
8,15,2459,7/15/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,4/12/2009,1279.4
9,67,1305,8/10/2017,FALSE,Approved,Solex,Standard,medium,large,1071.23,380.74,8/5/1991,690.49
10,12,3262,8/30/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,8/17/2004,1069.55
11,5,1986,1/17/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,8/29/2011,114.93
12,61,2783,1/5/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,6/17/2015,14.23
13,35,1243,2/26/2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,7/12/1994,903.11
14,16,2717,9/10/2017,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,9/9/1994,182.81
15,12,247,6/11/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,7/25/2004,1055.82
16,3,2961,10/10/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,9/9/2003,1702.55
17,79,2426,4/3/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,8/7/2004,737.57
18,33,1842,6/2/2017,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,10/11/1992,144.26
19,54,2268,4/6/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,4/12/2009,1279.4
20,25,3002,1/28/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,3/22/2002,709.34
21,27,1582,10/9/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,6/23/1999,110.81
22,37,595,6/29/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,7/20/1999,1544.61
23,37,2001,4/8/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,5/21/2015,1544.61
24,82,515,10/18/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2/4/2016,709.34
25,89,2822,6/11/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,4/20/1993,1305.25
26,64,2596,1/10/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,5/21/2015,872.89
27,64,2666,4/11/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,5/18/2012,872.89
28,19,76,12/23/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,7/9/2016,114.93
29,72,3368,10/13/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,12/6/2016,90.1
30,91,1173,3/15/2017,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,513.85,10/10/2014,128.46
